기관명,영문서비스명,시작주소,끝주소,개수(/24),할당일
(주)씨엠비충청방송,CMBMUTINET,163.53.156.0,163.53.159.255,4,20140710
(주)씨엠비동대문방송,CMBPLUSONE,122.128.192.0,122.128.255.255,64,20061218
(주)씨엠비동대문방송,CMBPLUSONE,110.34.64.0,110.34.127.255,64,20090302
(주)씨엠비수성방송,CMBSUSUNG,122.129.208.0,122.129.215.255,8,20061221
(주)씨엠비수성방송,CMBSUSUNG,58.147.176.0,58.147.183.255,8,20110112
(주)씨엠비수성방송,CMBSUSUNG,103.28.64.0,103.28.67.255,4,20111219
(주)씨엠비수성방송,CMBSUSUNG,43.241.104.0,43.241.107.255,4,20140822
(주)씨엠비수성방송,CMBSUSUNG,49.143.187.0,49.143.187.255,1,20170814
(주)커넥트웨이브,CONNECTWAVE,14.129.0.0,14.129.255.255,256,20100817
크로스온넷(주),CROSSONNET,182.50.16.0,182.50.31.255,16,20100225
크로스온넷(주),CROSSONNET,103.30.156.0,103.30.159.255,4,20190614
(주)다우기술,DAOU,27.102.0.0,27.102.255.255,256,20100528
(주)다우기술,DAOU,115.71.0.0,115.71.255.255,256,20101224
(주)다우기술,DAOU,110.172.100.0,110.172.127.255,28,20110124
(주)다우기술,DAOU,113.29.128.0,113.29.207.255,80,20110124
(주)다우기술,DAOU,203.133.160.0,203.133.191.255,32,20110124
(주)다우기술,DAOU,203.217.204.0,203.217.255.255,52,20110124
(주)다우기술,DAOU,103.13.160.0,103.13.163.255,4,20120725
(주)다우기술,DAOU,1.16.0.0,1.16.63.255,64,20130415
디지털엣지코리아,DEK-NET,103.126.234.0,103.126.235.255,2,20230503
삼정데이타서비스(주),DIRECT-HOSTING,223.130.64.0,223.130.127.255,64,20100805
삼정데이타서비스(주),DIRECT-HOSTING,103.4.148.0,103.4.151.255,4,20110713
삼정데이타서비스(주),DIRECT-HOSTING,58.84.44.0,58.84.47.255,4,20150925
주식회사 아름방송네트워크,DITIZONE,61.97.224.0,61.97.239.255,16,20020128
주식회사 아름방송네트워크,DITIZONE,211.111.224.0,211.111.255.255,32,20030515
주식회사 아름방송네트워크,DITIZONE,211.112.96.0,211.112.127.255,32,20030915
주식회사 아름방송네트워크,DITIZONE,210.97.160.0,210.97.191.255,32,20040213
주식회사 아름방송네트워크,DITIZONE,203.81.128.0,203.81.159.255,32,20041021
주식회사 아름방송네트워크,DITIZONE,203.128.192.0,203.128.223.255,32,20050315
주식회사 아름방송네트워크,DITIZONE,203.142.160.0,203.142.191.255,32,20050727
주식회사 아름방송네트워크,DITIZONE,125.252.0.0,125.252.63.255,64,20051102
주식회사 아름방송네트워크,DITIZONE,122.128.32.0,122.128.63.255,32,20061215
주식회사 아름방송네트워크,DITIZONE,113.199.0.0,113.199.127.255,128,20081127
주식회사 아름방송네트워크,DITIZONE,27.116.128.0,27.116.255.255,128,20100716
주식회사 아름방송네트워크,DITIZONE,49.238.64.0,49.238.127.255,64,20101209
주식회사 딜라이브,DLIVE,211.36.160.0,211.36.163.255,4,19991026
주식회사 딜라이브,DLIVE,211.36.164.0,211.36.171.255,8,20000222
주식회사 딜라이브,DLIVE,211.36.172.0,211.36.175.255,4,20000515
주식회사 딜라이브,DLIVE,211.36.176.0,211.36.183.255,8,20000526
주식회사 딜라이브,DLIVE,211.172.208.0,211.172.223.255,16,20000814
주식회사 딜라이브,DLIVE,211.36.184.0,211.36.191.255,8,20001104
주식회사 딜라이브,DLIVE,211.237.224.0,211.237.239.255,16,20010110
주식회사 딜라이브,DLIVE,211.237.208.0,211.237.223.255,16,20010129
주식회사 딜라이브,DLIVE,211.237.112.0,211.237.127.255,16,20010524
주식회사 딜라이브,DLIVE,61.252.96.0,61.252.111.255,16,20010829
주식회사 딜라이브,DLIVE,211.41.208.0,211.41.223.255,16,20011024
주식회사 딜라이브,DLIVE,61.252.112.0,61.252.127.255,16,20020426
주식회사 딜라이브,DLIVE,61.106.64.0,61.106.79.255,16,20020523
주식회사 딜라이브,DLIVE,211.172.0.0,211.172.31.255,32,20020912
주식회사 딜라이브,DLIVE,211.255.160.0,211.255.191.255,32,20030221
주식회사 딜라이브,DLIVE,211.41.224.0,211.41.255.255,32,20030322
주식회사 딜라이브,DLIVE,210.106.192.0,210.106.223.255,32,20040715
주식회사 딜라이브,DLIVE,61.247.128.0,61.247.159.255,32,20050111
주식회사 딜라이브,DLIVE,203.130.96.0,203.130.127.255,32,20050329
주식회사 딜라이브,DLIVE,58.140.0.0,58.140.87.255,88,20050525
주식회사 딜라이브,DLIVE,58.140.100.0,58.140.217.255,118,20050525
주식회사 딜라이브,DLIVE,58.140.220.0,58.141.83.255,120,20050525
주식회사 딜라이브,DLIVE,58.140.92.0,58.140.95.255,4,20050525
주식회사 딜라이브,DLIVE,58.141.134.0,58.141.231.255,98,20050525
주식회사 딜라이브,DLIVE,58.141.236.0,58.141.243.255,8,20050525
주식회사 딜라이브,DLIVE,58.141.248.0,58.142.123.255,132,20050525
주식회사 딜라이브,DLIVE,58.141.96.0,58.141.111.255,16,20050525
주식회사 딜라이브,DLIVE,58.142.128.0,58.143.255.255,384,20050525
주식회사 딜라이브,DLIVE,203.152.160.0,203.152.191.255,32,20050805
주식회사 딜라이브,DLIVE,202.136.128.0,202.136.159.255,32,20051109
주식회사 딜라이브,DLIVE,124.5.0.0,124.5.255.255,256,20051117
주식회사 딜라이브,DLIVE,121.88.0.0,121.88.255.255,256,20060704
주식회사 딜라이브,DLIVE,121.100.64.0,121.100.127.255,64,20060713
주식회사 딜라이브,DLIVE,123.98.160.0,123.98.191.255,32,20061127
주식회사 딜라이브,DLIVE,117.53.64.0,117.53.95.255,32,20070627
주식회사 딜라이브,DLIVE,118.176.0.0,118.176.159.255,160,20071015
주식회사 딜라이브,DLIVE,118.176.162.0,118.176.255.255,94,20071015
주식회사 딜라이브,DLIVE,121.101.224.0,121.101.255.255,32,20071120
주식회사 딜라이브,DLIVE,120.142.0.0,120.142.21.255,22,20080418
주식회사 딜라이브,DLIVE,120.142.192.0,120.142.247.255,56,20080418
주식회사 딜라이브,DLIVE,120.142.24.0,120.142.51.255,28,20080418
주식회사 딜라이브,DLIVE,120.142.250.0,120.142.251.255,2,20080418
주식회사 딜라이브,DLIVE,120.142.254.0,120.142.255.255,2,20080418
주식회사 딜라이브,DLIVE,120.142.56.0,120.142.187.255,132,20080418
주식회사 딜라이브,DLIVE,114.30.0.0,114.30.31.255,32,20080425
주식회사 딜라이브,DLIVE,113.10.0.0,113.10.63.255,64,20080923
주식회사 딜라이브,DLIVE,112.214.0.0,112.214.15.255,16,20090223
주식회사 딜라이브,DLIVE,112.214.108.0,112.214.255.255,148,20090223
주식회사 딜라이브,DLIVE,112.214.20.0,112.214.29.255,10,20090223
주식회사 딜라이브,DLIVE,112.214.32.0,112.214.103.255,72,20090223
주식회사 딜라이브,DLIVE,110.92.128.0,110.92.255.255,128,20090417
주식회사 딜라이브,DLIVE,175.28.32.0,175.28.47.255,16,20091211
주식회사 딜라이브,DLIVE,27.1.0.0,27.1.255.255,256,20100312
주식회사 딜라이브,DLIVE,182.172.0.0,182.172.19.255,20,20100412
주식회사 딜라이브,DLIVE,182.172.128.0,182.172.215.255,88,20100412
주식회사 딜라이브,DLIVE,182.172.220.0,182.172.223.255,4,20100412
주식회사 딜라이브,DLIVE,182.172.228.0,182.172.255.255,28,20100412
주식회사 딜라이브,DLIVE,182.172.24.0,182.172.123.255,100,20100412
주식회사 딜라이브,DLIVE,14.138.0.0,14.138.255.255,256,20100913
주식회사 딜라이브,DLIVE,49.1.0.0,49.1.215.255,216,20101013
주식회사 딜라이브,DLIVE,49.1.220.0,49.1.223.255,4,20101013
주식회사 딜라이브,DLIVE,49.1.228.0,49.1.255.255,28,20101013
주식회사 딜라이브,DLIVE,101.235.0.0,101.235.195.255,196,20110124
주식회사 딜라이브,DLIVE,101.235.200.0,101.235.207.255,8,20110124
주식회사 딜라이브,DLIVE,101.235.212.0,101.235.255.255,44,20110124
주식회사 딜라이브,DLIVE,103.2.76.0,103.2.79.255,4,20110422
주식회사 딜라이브,DLIVE,103.23.80.0,103.23.83.255,4,20111121
주식회사 딜라이브,DLIVE,103.23.84.0,103.23.87.255,4,20111121
주식회사 닷네임코리아,DOTNAME,203.210.16.0,203.210.31.255,16,20060602
주식회사 닷네임코리아,DOTNAME,121.0.64.0,121.0.127.255,64,20060620
주식회사 닷네임코리아,DOTNAME,210.87.192.0,210.87.223.255,32,20060620
주식회사 닷네임코리아,DOTNAME,103.31.180.0,103.31.183.255,4,20121129
주식회사 닷네임코리아,DOTNAME,45.120.64.0,45.120.67.255,4,20150611
더존비즈온,DOUZONE,202.167.215.0,202.167.215.255,1,20050929
더존비즈온,DOUZONE,221.133.55.0,221.133.55.255,1,20060804
더존비즈온,DOUZONE,103.8.100.0,103.8.103.255,4,20120419
더존비즈온,DOUZONE,45.64.140.0,45.64.143.255,4,20140616
드림마크원주식회사,DREAMMARK1,103.139.118.0,103.139.119.255,2,20190522
드림마크원주식회사,DREAMMARK1,101.202.0.0,101.202.255.255,256,20190604
드림라인(주),DREAMX,210.181.0.0,210.181.3.255,4,19990201
드림라인(주),DREAMX,210.181.4.0,210.181.11.255,8,19990419
드림라인(주),DREAMX,210.181.12.0,210.181.31.255,20,19990629
드림라인(주),DREAMX,211.39.224.0,211.39.255.255,32,19990914
드림라인(주),DREAMX,211.45.64.0,211.45.95.255,32,20000110
드림라인(주),DREAMX,211.56.128.0,211.56.191.255,64,20000223
드림라인(주),DREAMX,211.61.128.0,211.61.255.255,128,20000325
드림라인(주),DREAMX,211.111.0.0,211.111.127.255,128,20000504
드림라인(주),DREAMX,211.175.0.0,211.175.255.255,256,20000627
드림라인(주),DREAMX,211.183.0.0,211.183.255.255,256,20000814
드림라인(주),DREAMX,211.242.0.0,211.242.63.255,64,20010118
드림라인(주),DREAMX,211.242.64.0,211.242.127.255,64,20010302
드림라인(주),DREAMX,211.242.128.0,211.242.191.255,64,20010524
드림라인(주),DREAMX,61.96.0.0,61.96.127.255,128,20010830
드림라인(주),DREAMX,211.249.0.0,211.249.255.255,256,20011122
드림라인(주),DREAMX,61.96.128.0,61.96.255.255,128,20020107
드림라인(주),DREAMX,61.103.0.0,61.103.255.255,256,20020307
드림라인(주),DREAMX,61.107.0.0,61.107.255.255,256,20020605
드림라인(주),DREAMX,220.64.0.0,220.64.255.255,256,20031027
